geoid,place,County-Person-age-Years5Onwards-languageSpokenAtHome-AsianAndPacificIslandLanguages-nativity-USC_Native,County-Person-age-Years5Onwards-languageSpokenAtHome-OtherLanguages-nativity-USC_Native,County-Person-age-Years25Onwards-educationalAttainment-DoctorateDegree,County-Person-age-Years25Onwards-educationalAttainment-RegularHighSchoolDiploma,County-Person-age-Years18Onwards-armedForcesStatus-Civilian-veteranStatus-Veteran,County-Person-age-Years5Onwards-languageSpokenAtHome-Spanish-nativity-USC_Native,County-HousingUnit-occupancyStatus-OccupiedHousingUnit-occupancyTenure-OwnerOccupied,County-HousingUnit-cashRentStatus-WithCashRent-occupancyStatus-OccupiedHousingUnit-occupancyTenure-RenterOccupied,County-Person-age-Years5Onwards-nativity-USC_ForeignBorn,County-Person-gender-Female,County-Person-age-Years5Onwards-languageSpokenAtHome-OnlyEnglish-nativity-USC_ForeignBorn,County-Person-age-Years5Onwards-languageSpokenAtHome-OnlyEnglish,County-Person-age-Years25Onwards-educationalAttainment-MastersDegree,County-Person-age-Years25Onwards-educationalAttainment-BachelorsDegree
72101,Morovis Municipio,1e-10,1e-10,96,5184,356,28785,7130,1320,260,16010,1e-10,-1,629,2845
72047,Corozal Municipio,1e-10,1e-10,92,6371,615,31647,8779,1075,51,17974,1e-10,-1,792,3142
72003,Aguada Municipio,1e-10,1e-10,332,5454,681,35810,9572,1580,400,20162,1e-10,-1,1111,3718
72077,Juncos Municipio,1e-10,1e-10,112,6480,874,36779,8927,2049,161,20778,5,-1,1182,4008
72073,Jayuya Municipio,1e-10,1e-10,39,3190,371,13596,3019,979,44,7569,1e-10,-1,518,1163
72067,Hormigueros Municipio,1e-10,1e-10,26,3162,500,14141,4646,1163,281,8856,28,-1,493,2022
72143,Vega Alta Municipio,16,1e-10,256,6544,500,34116,8683,1929,540,20218,1e-10,-1,1377,3312
72087,Loíza Municipio,1e-10,1e-10,34,6221,603,24160,6394,1221,515,14529,48,-1,402,1929
72037,Ceiba Municipio,1e-10,12,17,2598,384,10859,3379,648,278,6489,54,-1,363,1116
72105,Naranjito Municipio,1e-10,1e-10,11,4758,493,25986,6855,803,163,14774,27,-1,421,2835
72107,Orocovis Municipio,1e-10,1e-10,2,4423,186,19503,4667,773,143,10915,18,-1,418,1879
72063,Gurabo Municipio,1e-10,1e-10,771,6267,1291,41775,12540,1679,624,24784,72,-1,2433,6919
72019,Barranquitas Municipio,1e-10,21,25,5825,237,25901,7042,1489,149,14839,53,-1,782,2424
72069,Humacao Municipio,1e-10,17,463,11004,1131,48995,13424,3030,547,28844,1e-10,-1,1621,6418
72119,Río Grande Municipio,59,115,216,10250,1166,46031,12163,2284,697,26648,54,-1,1367,5307
72085,Las Piedras Municipio,1e-10,1e-10,102,7274,565,35004,9327,1750,192,19829,10,-1,1213,3697
72065,Hatillo Municipio,1e-10,1e-10,254,5760,1013,37435,10722,2085,261,21272,16,-1,1537,5196
72033,Cataño Municipio,16,1e-10,157,4468,678,21740,5472,2114,1027,13484,68,-1,564,2416
72057,Guayama Municipio,1e-10,1e-10,68,9825,402,38666,10901,3688,151,21429,1e-10,-1,876,4455
72015,Arroyo Municipio,1e-10,1e-10,12,4817,123,16692,4838,1233,51,9911,1e-10,-1,201,1685
72043,Coamo Municipio,1e-10,58,258,9315,1507,35931,10507,2444,333,20479,62,-1,1098,4183
72001,Adjuntas Municipio,1e-10,1e-10,80,2981,259,16571,3364,1289,53,9228,1e-10,-1,329,1863
72103,Naguabo Municipio,1e-10,1e-10,35,5223,467,24610,6618,1055,329,14065,1e-10,-1,643,2792
72013,Arecibo Municipio,1e-10,1e-10,569,17036,2012,80438,21953,5739,612,46550,23,-1,2379,10461
72149,Villalba Municipio,1e-10,1e-10,14,4992,455,21225,5569,1010,75,12149,1e-10,-1,443,2416
72017,Barceloneta Municipio,1e-10,1e-10,54,5284,421,22235,5983,1101,172,12890,1e-10,-1,542,2532
72045,Comerío Municipio,1e-10,1e-10,20,3856,283,17472,3824,1123,181,10021,1e-10,-1,313,1230
72153,Yauco Municipio,1e-10,1e-10,180,7295,933,32440,8195,825,150,19533,15,-1,982,4558
72009,Aibonito Municipio,1e-10,1e-10,94,5574,276,21322,6870,1403,212,12456,12,-1,755,2330
72089,Luquillo Municipio,1e-10,1e-10,47,3700,566,16684,4677,1224,421,10059,29,-1,518,1866
72121,Sabana Grande Municipio,1e-10,1e-10,116,5148,718,20402,5677,834,122,12454,25,-1,365,2589
72071,Isabela Municipio,1e-10,1e-10,105,8092,1006,38695,9674,2802,549,22245,8,-1,1584,4572
72125,San Germán Municipio,1e-10,1e-10,136,6099,1150,29246,8586,2217,302,16933,97,-1,1009,3909
72041,Cidra Municipio,1e-10,1e-10,153,7407,870,37404,9170,1887,432,21183,1e-10,-1,1441,4571
72083,Las Marías Municipio,1e-10,1e-10,1,1618,222,8064,2104,434,40,4508,8,-1,142,756
72059,Guayanilla Municipio,1e-10,1e-10,114,3587,568,17451,4577,635,74,10214,1e-10,-1,401,2423
72051,Dorado Municipio,1e-10,1e-10,328,6191,1052,32764,9281,1439,660,19738,51,-1,1413,5752
72123,Salinas Municipio,1e-10,1e-10,154,6937,788,26213,8679,1400,211,15101,21,-1,635,2477
72027,Camuy Municipio,1e-10,1e-10,195,5768,598,29440,8029,1593,175,17144,22,-1,941,3799
72127,San Juan Municipio,84,74,5132,50330,9254,273282,78271,53552,41154,192520,2195,-1,19736,53804
72145,Vega Baja Municipio,1e-10,1e-10,284,6091,956,48587,14853,1639,325,28485,66,-1,1724,5456
72025,Caguas Municipio,36,52,1506,21490,3953,116982,33729,10690,2332,71665,70,-1,5697,19608
72147,Vieques Municipio,1e-10,1e-10,218,2111,513,7420,1999,280,18,4580,1e-10,-1,219,985
72135,Toa Alta Municipio,1e-10,1e-10,404,11708,1338,65622,18509,2306,1046,38487,37,-1,2393,11794
72031,Carolina Municipio,46,65,1421,24719,5154,132660,44416,14560,9989,87490,619,-1,6847,25133
72095,Maunabo Municipio,1e-10,1e-10,13,1874,267,10146,3038,421,97,5730,1e-10,-1,184,1156
72131,San Sebastián Municipio,1e-10,1e-10,71,6274,678,35749,8948,2661,304,20028,8,-1,666,4135
72137,Toa Baja Municipio,1e-10,1e-10,339,14218,2296,70558,20475,3988,1879,43452,189,-1,2514,10258
72049,Culebra Municipio,1e-10,1e-10,11,330,69,1251,349,121,48,676,21,-1,21,123
72129,San Lorenzo Municipio,1e-10,27,23,6393,587,34927,10413,1978,324,19815,1e-10,-1,1197,4133
72097,Mayagüez Municipio,1e-10,1e-10,1020,12644,2003,68595,17440,9301,1679,41565,132,-1,2379,8641
72035,Cayey Municipio,1e-10,1e-10,335,8361,1324,41479,10808,3288,340,23610,11,-1,1478,5464
72079,Lajas Municipio,1e-10,1e-10,163,4106,332,21357,4566,898,233,12423,1e-10,-1,461,1881
72023,Cabo Rojo Municipio,1e-10,1e-10,516,8196,385,45754,9641,2043,272,26129,14,-1,1533,6871
72109,Patillas Municipio,12,1e-10,79,3597,382,16477,4588,948,125,9067,1e-10,-1,377,1534
72053,Fajardo Municipio,15,1e-10,168,6541,1352,29086,8113,2798,697,17605,34,-1,818,4126
